,x,chi_1,t_1,chi_2,t_2,chi_3,t_3,chi_4,t_4,chi_5,t_5,chi_6,t_6,chi_7,t_7,chi_8,t_8,chi_9,t_9,chi_10,t_10,chi_11,t_11
317,7.932932932932934,0.0026827405605928827,0.004978926820261113,0.00947012050422247,0.0019112504455481144,0.02128200094364225,0.0007609867258719734,0.037562915413394946,0.00032742065186322863,0.05627622872150974,0.00015136717208068343,0.0744960221849737,7.446713255241267e-05,0.0892871096332262,3.865037711504303e-05,0.09849532462728,2.1013768063328037e-05,0.10118695035654471,1.1898440072468082e-05,0.09766960055945872,6.982963067550211e-06,0.08918992120738706,4.230920370108603e-06
318,7.957957957957959,0.002645212896651671,0.004948148063849365,0.0093523637556714,0.0018938258422160697,0.021050493021402186,0.0007518892286661267,0.03721285878758139,0.00032260738575920337,0.05583964615286864,0.00014873968832852693,0.07403459143174979,7.298282531403876e-05,0.08887391129435548,3.778358247521983e-05,0.09819402767474321,2.049169133001711e-05,0.10103640709139519,1.1574925211765342e-05,0.0976779929947708,6.7772078436323125e-06,0.08933816442849414,4.096908326162413e-06
319,7.982982982982984,0.002608223086696793,0.004917652346372032,0.009236071260064434,0.0018766107598731274,0.02082140051692384,0.000742926010067795,0.0368656998493563,0.00031787790403548487,0.05540562866949205,0.00014616467466564156,0.07357456363829241,7.153184392536629e-05,0.08846043816600578,3.69383345481462e-05,0.09789074825081454,1.9983810170234124e-05,0.10088259607806326,1.126093896474545e-05,0.0976825221847154,6.577964659683386e-06,0.0894826719744805,3.967423428723773e-06
320,8.008008008008009,0.0025717631667192564,0.004887436226251163,0.009121224810065593,0.0018596020836755235,0.02059470003378787,0.0007340947213858777,0.036521420660923315,0.00031323052812103877,0.05497417426436531,0.00014364095057756095,0.07311595727912575,7.01133589921733e-05,0.08804672554853306,3.6114047190538275e-05,0.0975855285674017,1.948970652755469e-05,0.10072555475307653,1.0956179945285794e-05,0.0976832117791809,6.3850137626194865e-06,0.08962344989707624,3.842303602810113e-06
321,8.033033033033034,0.0025358252959341646,0.004857496313780497,0.009007806424739053,0.0018427967537314352,0.020370368368239942,0.0007253930612473868,0.03618000328254802,0.00030866361734734705,0.054545280665707525,0.00014116736499470084,0.07265879037598795,6.872656370843466e-05,0.08763280827673736,3.531015152622088e-05,0.0972784105384223,1.9008975563533577e-05,0.10056532052349736,1.0660356928074891e-05,0.09768008565701192,6.1981432553253e-06,0.08976050463808986,3.7213928879660887e-06
322,8.058058058058059,0.002500401754758547,0.004827829270195211,0.008895798346733947,0.0018261917639827725,0.02014838250831464,0.000716818774522238,0.03584142977537951,0.00030417556799931664,0.054118945342653595,0.00013874279548863882,0.07220308050345475,6.737067319023453e-05,0.08721872072239475,3.452609540016501e-05,0.09696943577791305,1.854122521241347e-05,0.10040193076151538,1.0373188485880526e-05,0.09767316791944443,6.017148800852386e-06,0.08989384302415743,3.60454119641936e-06
323,8.083083083083084,0.002465484942825066,0.004798431806760996,0.008785183039504192,0.0018097841611126736,0.019928719632945364,0.0007083696512751549,0.035505682204202395,0.0002997648123922011,0.05369516551085548,0.00013636614749214476,0.07174884479452812,6.604492383075405e-05,0.08680449679682839,3.376134285091023e-05,0.09665864559823405,1.808607575170982e-05,0.10023542279914051,1.0094402640448311e-05,0.09766248288360105,5.8418333382864845e-06,0.09002347226149038,3.491604081217105e-06
324,8.108108108108109,0.002431067377030818,0.004769300683881946,0.008675943184562877,0.0017935710434780476,0.019711357111060694,0.0007000435257439355,0.03517274264011978,0.0002954298179737649,0.05327393813800183,0.00013403635354221084,0.07129609994618874,6.474857267562586e-05,0.0863901699535165,3.301537360071777e-05,0.09634608100836312,1.76431593880766e-05,0.10006583392299202,9.823736526494754e-06,0.09764805507604371,5.672006809804074e-06,0.09014939993062339,3.3824425139154795e-06
325,8.133133133133134,0.002397141689620604,0.004740432710226862,0.008568061678770802,0.0017775495600665181,0.019496272500668106,0.0006918382753433558,0.034842593163169566,0.000291169086450941,0.05285525994925867,0.0001317523725453519,0.07084486222491308,6.348089681796913e-05,0.08597577319073613,3.228768256282351e-05,0.09603178271228206,1.7212119857880637e-05,0.09989320136918785,9.56093606828049e-06,0.09762990922638788,5.507485898458677e-06,0.0902716339811646,3.2769226714131036e-06
326,8.158158158158159,0.0023637006263039803,0.004711824741873533,0.008461521631658706,0.0017617169094771587,0.019283443547925383,0.0006837518196940067,0.0345152158648741,0.00028698115294025926,0.0524391274326299,0.00012951318906447457,0.07039514747215314,6.224119281244621e-05,0.08556133905424096,3.1577779365184564e-05,0.09571579110744881,1.6792612041935106e-05,0.09971756231832742,9.305755668270486e-06,0.09760807026097441,5.348093776257139e-06,0.09039018272654524,3.174915731537854e-06
327,8.183183183183184,0.002330737044405405,0.004683473681470554,0.008356306362782834,0.0017460703389244035,0.019072848186200385,0.000675782119675378,0.03419059285072556,0.00028286458514134344,0.052025536844240265,0.0001273178126266343,0.06994697110978015,6.10287761077031e-05,0.0851468996399728,3.088518789013476e-05,0.09539814628335881,1.6384301593863925e-05,0.09953895389057306,9.057957907408095e-06,0.09758256329660386,5.193659862104695e-06,0.09050505483877595,3.076297677013436e-06
328,8.208208208208209,0.002298243911046894,0.00465537647741629,0.008252399399113345,0.0017306071432645644,0.01886446453511967,0.0006679271765025282,0.033868706242607335,0.00027881798253280056,0.05161448421354064,0.00012516527705102497,0.06950034814549055,5.9842980496579755e-05,0.08473248659680346,3.020944582938725e-05,0.09507888802019065,1.598686458158954e-05,0.0993574131408249,8.81731325654938e-06,0.09755341363432975,5.044019589215636e-06,0.0906162593432059,2.9809491074487446e-06
329,8.233233233233234,0.0022662143013625516,0.004627530123054602,0.008149784472455221,0.0017153246640443662,0.01865827089960659,0.0006601850308256954,0.03354953818115324,0.0002748399755898432,0.05120596534843648,0.00012305463979656495,0.06905529317817453,5.8683157583497724e-05,0.0843181311293073,2.9550104253842355e-05,0.09475805578753513,1.5599987141456383e-05,0.09917297705399004,8.583599798622217e-06,0.09752064675331282,4.899014181603358e-06,0.09072380561328748,2.888755059008761e-06
330,8.258258258258259,0.0022346413967442957,0.004599931655886905,0.008048445516901231,0.0017002202885709578,0.018454245768909344,0.0006525537618522251,0.03323307082804564,0.0002709292250230089,0.050799975840341044,0.00012098498132846744,0.06861182040324737,5.754867626845303e-05,0.08390386400056325,2.8906727197679302e-05,0.0944356887432084,1.5223365144521063e-05,0.09898568254034706,8.35660296109263e-06,0.09748428830473835,4.758490439280091e-06,0.09082770336535019,2.7996048314406817e-06
331,8.283283283283284,0.0022035184831182882,0.004572578156800241,0.00794836666631658,0.0016852914490028605,0.018252367815619466,0.0006450314864902096,0.03291928636825313,0.00026708442103736156,0.05039651106915283,0.00011895540450320117,0.0681699436179416,5.643892224706323e-05,0.08348971553498295,2.8278891256229984e-05,0.09411182573214326,1.4856703874558968e-05,0.09879556643100011,8.136115258337806e-06,0.09744436410579152,4.6223005318121065e-06,0.09092796265337853,2.7133918221434572e-06
332,8.308308308308309,0.0021728389492513935,0.004545466749310934,0.00784953225185482,0.0016705356214613192,0.018052615894681254,0.0006376163585132468,0.03260816701220972,0.0002633042826115755,0.04999556620815963,0.00011696503397126859,0.0677296762265617,5.535329752613564e-05,0.0830757156211661,2.7666185197151064e-05,0.09378650528536243,1.4499717717353846e-05,0.09860266547342754,7.921936043541239e-06,0.09740090013369715,4.490301799891244e-06,0.09102459386380246,2.6300133669824458e-06
333,8.333333333333334,0.0021425962850871306,0.004518594598823527,0.007751926799504656,0.0016559503251615607,0.017854969042392754,0.0006303065677457536,0.032299694997936064,0.00025958755679632593,0.04959713622886875,0.00011501301559724696,0.06729103124570014,5.429121995424426e-05,0.0826618937147813,2.706820958442878e-05,0.09345976561902798,1.415212986085429e-05,0.0984070163271205,7.713871269741186e-06,0.09735392251982078,4.362356564597856e-06,0.09111760771029681,2.5493705875641098e-06
